deposition_method,thickness_nm,substrate_temp_C,annealing_temp_C,o2_pressure_Pa,precursor_molarity_M,grain_size_nm,carrier_concentration_cm3,urbach_energy_meV,bandgap_eV,refractive_index_550nm,extinction_coefficient_550nm,avg_transmittance_pct
RF Sputtering,345.58028580586836,142.6296824137579,400.0,0.22505780286031307,,39.4,2.20333e+19,46.2,3.419,1.863,0.00691,92.3
RF Sputtering,88.60311737231773,374.037220922226,300.0,0.1556292370803453,,44.2,7.46624e+19,53.2,3.4,1.959,0.01099,91.8
RF Sputtering,129.0296528876068,114.3797879649893,300.0,0.2358790371644542,,33.4,1.49725e+19,40.4,3.366,1.92,0.00275,91.7
RF Sputtering,212.87427087726695,182.64654056711933,500.0,0.15342345429124724,,41.5,1.20633e+19,40.0,3.353,1.893,0.0045,91.9
RF Sputtering,146.32316880347352,384.98599275268066,0.0,0.10014294836597638,,22.7,2.24619e+19,63.0,3.354,1.907,0.00588,89.4
RF Sputtering,398.77142702741224,248.30750892364534,600.0,0.25339363907454604,,38.9,1.29885e+19,43.6,3.372,1.928,0.00288,93.4
RF Sputtering,423.67565030294026,374.55573312595817,400.0,0.060270056575649954,,45.2,2.70401e+19,40.0,3.373,1.89,0.00683,88.4
RF Sputtering,224.74228620287133,227.0688594569034,400.0,0.09070020523311662,,36.8,4.5698e+18,40.0,3.317,1.915,0.00339,92.6
RF Sputtering,213.8954946822221,110.51382482284646,500.0,0.15040288594173648,,45.2,3.41014e+19,40.0,3.385,1.89,0.00493,91.9
RF Sputtering,126.89771743775736,292.36109508738804,300.0,0.25936264393054326,,34.4,5.42186e+19,51.1,3.406,1.984,0.00823,94.1
RF Sputtering,115.26032019526397,220.59005927342616,600.0,0.04341148633764887,,49.1,2.661e+18,40.0,3.304,1.923,0.00538,91.9
RF Sputtering,379.344892989314,214.55243823233914,0.0,0.10821965640904573,,17.7,1.88927e+19,56.2,3.349,1.909,0.00399,90.1
RF Sputtering,331.80822642821533,76.18169247082892,500.0,0.16434965194095658,,38.8,1.93788e+19,54.0,3.387,1.924,0.00375,92.3
RF Sputtering,103.38294542573293,79.34479821419141,700.0,0.20672137208328792,,44.7,9.9052e+18,40.0,3.337,1.957,0.00639,96.1
RF Sputtering,281.5148582969607,373.6019178813417,0.0,0.040506280079349206,,24.3,9.18541e+19,57.5,3.435,1.913,0.01137,90.0
RF Sputtering,248.7041218648739,383.5218490181077,500.0,0.22903225348994405,,40.2,1.21044e+19,40.8,3.348,1.898,0.00263,90.8
RF Sputtering,436.1511789697293,387.22408626224376,700.0,0.17150711770803512,,54.0,1.97444e+19,40.0,3.348,1.922,0.00328,95.3
RF Sputtering,381.4966553227491,159.17096548593156,700.0,0.15997187578515604,,48.3,4.3374e+18,40.0,3.301,1.902,0.00206,92.7
RF Sputtering,332.8669015245063,42.201326946554985,400.0,0.12045243388493257,,36.5,2.39241e+19,42.7,3.336,1.936,0.00465,92.5
RF Sputtering,312.00120503230886,232.72272730809473,500.0,0.10124766483780294,,43.6,1.18201e+19,40.0,3.363,1.867,0.00287,89.2
RF Sputtering,478.62300705358774,301.11605191827675,700.0,0.26824634002877645,,49.0,6.9188e+18,45.4,3.348,1.916,0.00282,94.6
RF Sputtering,494.4027987505568,268.01742743972386,500.0,0.2981951761227642,,50.2,4.8539e+18,40.0,3.317,1.892,0.00517,91.3
RF Sputtering,221.98270085280168,44.84981841802648,600.0,0.0608123107789616,,41.9,1.00614e+19,40.0,3.323,1.893,0.00275,93.9
RF Sputtering,180.74736520203882,112.33106223598325,500.0,0.07133534165947589,,42.8,3.44146e+19,41.9,3.372,1.922,0.00572,92.2
RF Sputtering,414.5030166749374,289.7065969844916,0.0,0.20343988730967885,,18.3,2.99552e+19,53.2,3.38,1.886,0.0083,90.3
RF Sputtering,106.74830092535527,45.65681203966974,400.0,0.23172324054953936,,18.2,1.64356e+19,41.9,3.387,1.94,0.00445,88.8
RF Sputtering,233.13857005833725,342.4363664302595,600.0,0.24866008371934684,,47.7,1.22627e+19,40.0,3.337,1.913,0.0025,93.4
RF Sputtering,109.40957710229102,395.90543559225847,400.0,0.09770920608499624,,39.6,1.08694e+19,46.8,3.315,1.934,0.00386,91.7
RF Sputtering,214.1344369613822,117.92486593120083,400.0,0.07063908863497681,,35.1,2.28579e+19,40.0,3.373,1.893,0.00496,92.2
RF Sputtering,109.56068994492189,45.29323917820519,400.0,0.03104508080710114,,25.2,2.85978e+19,44.6,3.371,1.974,0.00624,94.8
RF Sputtering,201.91074019683106,392.38499061962705,300.0,0.11913635740954277,,35.5,2.04118e+19,40.0,3.348,1.883,0.00392,90.8
RF Sputtering,411.84247184219157,312.7061067303153,500.0,0.17312057337798806,,39.8,5.07e+18,43.2,3.288,1.928,0.00189,91.9
RF Sputtering,460.26813473603016,195.32417504766363,400.0,0.2630398912189272,,37.3,4.27941e+19,40.0,3.399,1.875,0.00564,88.9
RF Sputtering,412.900981733569,204.34624008731382,600.0,0.019582880944347757,,42.3,1.3557e+19,40.5,3.38,1.903,0.00275,93.6
RF Sputtering,315.96385826084895,368.31362653699745,0.0,0.036000041059974446,,30.4,4.61064e+19,66.6,3.35,1.901,0.00891,88.4
RF Sputtering,338.72772173051357,158.43627994847574,600.0,0.19941208621059336,,47.7,1.03506e+19,43.4,3.314,1.873,0.00296,94.5
RF Sputtering,231.82308772534475,44.94243579212336,0.0,0.20468310705986292,,16.9,3.12855e+19,59.6,3.367,1.914,0.00795,92.2
RF Sputtering,150.90326540589018,255.2388734587614,600.0,0.04599813267131113,,47.0,4.8814e+18,40.0,3.32,1.902,0.00552,90.1
RF Sputtering,263.2211921393676,142.20428473045138,400.0,0.0379460540418898,,35.9,1.9508e+19,54.6,3.373,1.926,0.00424,89.0
RF Sputtering,387.78664126623397,280.5846411243358,600.0,0.01811313077011965,,52.3,1.40054e+19,40.0,3.354,1.93,0.00582,90.9
RF Sputtering,106.4128020214942,380.4812611570577,400.0,0.1981328816005686,,39.8,3.21143e+19,48.4,3.346,1.942,0.00726,92.4
RF Sputtering,88.70785113009195,160.21745439878592,300.0,0.09115846663319015,,36.1,6.15332e+19,44.9,3.409,1.964,0.00757,90.8
RF Sputtering,403.630187894308,117.6243072701409,700.0,0.07988795604298453,,47.3,6.6839e+18,40.0,3.338,1.896,0.00639,93.1
RF Sputtering,205.97984396083282,44.85695054066775,500.0,0.20271920790602196,,41.2,3.72119e+19,50.9,3.372,1.868,0.00722,91.9
RF Sputtering,374.4889955182771,336.87247732392944,300.0,0.0450901353621074,,46.4,2.51451e+19,40.0,3.376,1.88,0.00507,88.9
RF Sputtering,388.5604427798907,54.39242789337246,500.0,0.16555984407709307,,42.7,2.08962e+19,40.0,3.336,1.898,0.00692,91.3
RF Sputtering,471.8199434186853,382.0658051103409,300.0,0.036368204082760563,,34.5,1.37994e+19,43.5,3.344,1.899,0.00522,88.8
RF Sputtering,248.13794182715952,289.8053604354002,400.0,0.02906732854488539,,45.1,2.41029e+19,48.6,3.341,1.925,0.00561,89.9
RF Sputtering,230.54392990622563,366.8248175384062,500.0,0.20387462016821353,,46.0,8.4007e+18,40.0,3.338,1.89,0.00239,92.9
RF Sputtering,418.75805218964285,330.41532659314396,500.0,0.2395681988431855,,44.3,2.11282e+19,47.2,3.379,1.886,0.00489,90.9
RF Sputtering,401.086260548678,96.52060481983226,0.0,0.14410405273494453,,14.4,2.22751e+19,54.2,3.326,1.914,0.00481,90.3
RF Sputtering,354.0981907645453,90.96380564723405,300.0,0.12662235688938453,,23.9,2.48489e+19,52.1,3.37,1.913,0.00441,88.7
RF Sputtering,420.60596106112826,385.5204144089028,400.0,0.21344915157333275,,44.5,1.39789e+19,57.0,3.366,1.893,0.00567,88.0
RF Sputtering,349.73024067124317,134.13924092624814,500.0,0.03205199959874898,,36.3,2.01854e+19,43.8,3.368,1.902,0.0039,93.1
RF Sputtering,482.1265021869012,321.48007223987804,600.0,0.09070203380302765,,54.8,1.41712e+19,41.3,3.385,1.885,0.00377,91.4
RF Sputtering,220.22725700945878,89.04630543556189,500.0,0.27252754853412414,,38.9,1.57264e+19,48.1,3.355,1.895,0.00436,92.4
RF Sputtering,390.06610159644265,137.1588363594945,600.0,0.285197184002938,,33.3,8.7953e+18,40.0,3.383,1.854,0.00411,92.0
RF Sputtering,478.9299884096161,277.5588038950733,400.0,0.021134866752100398,,35.8,3.37293e+19,45.2,3.381,1.861,0.00868,87.5
RF Sputtering,220.4329447477208,118.15738084117964,300.0,0.010888595531460219,,25.5,3.63117e+19,47.5,3.358,1.916,0.00834,89.1
RF Sputtering,336.88543862862207,306.9501884360704,300.0,0.23268639545988923,,33.4,1.43225e+19,46.8,3.35,1.886,0.00536,91.4
RF Sputtering,233.5814703824043,354.72102364464956,0.0,0.14104470009735365,,21.7,6.99913e+19,56.0,3.391,1.874,0.01139,89.0
RF Sputtering,273.8469223826662,145.13966863344314,400.0,0.2311048322882494,,35.9,1.25468e+19,40.0,3.374,1.908,0.00352,92.0
RF Sputtering,111.5008371056606,137.0154536372094,500.0,0.19646508728183507,,38.6,1.57423e+19,40.0,3.392,1.991,0.00323,95.0
RF Sputtering,88.12421216526191,35.39974778438313,600.0,0.13991025316581468,,35.8,1.19452e+19,41.9,3.387,1.985,0.00345,96.5
RF Sputtering,399.0527763719129,183.49749049238156,300.0,0.21589448000454145,,33.6,2.15801e+19,40.0,3.381,1.906,0.00446,90.8
RF Sputtering,270.15884908663895,49.54246851632308,600.0,0.18531289938962237,,44.4,1.91179e+19,40.0,3.36,1.899,0.00459,94.0
RF Sputtering,341.59028321425563,240.49597892522854,600.0,0.014557656841514863,,47.4,4.6623e+18,41.9,3.313,1.939,0.00187,94.7
RF Sputtering,390.77963747511575,282.9760925767891,500.0,0.14517494995802688,,49.1,3.13158e+19,40.0,3.355,1.935,0.00666,91.3
RF Sputtering,255.83864067637313,238.1146865979653,700.0,0.2657813483456885,,53.5,3.309e+18,40.0,3.331,1.906,0.00339,93.5
RF Sputtering,234.39940252841296,251.3974552722857,500.0,0.23628248881695282,,41.0,3.01029e+19,44.8,3.352,1.893,0.00517,90.9
RF Sputtering,150.992100448116,249.86878909231896,400.0,0.19992915497802807,,37.1,2.57842e+19,40.0,3.368,1.931,0.00535,94.4
RF Sputtering,413.426410786619,363.49278588213434,500.0,0.19025782979172107,,47.2,6.2509e+18,40.0,3.336,1.912,0.00638,92.0
RF Sputtering,429.8757116054595,224.13602721772727,0.0,0.24681758407525278,,22.0,5.35832e+19,61.1,3.401,1.894,0.00825,88.4
RF Sputtering,388.36945466824824,348.02225778000417,0.0,0.09448931326845002,,24.8,3.90322e+19,58.1,3.357,1.889,0.00811,87.6
RF Sputtering,447.6237236099468,156.98934771399772,400.0,0.12429049112477468,,39.4,9.7551e+18,40.0,3.318,1.89,0.00351,93.0
RF Sputtering,352.18370562984165,77.73470697005524,400.0,0.1928903170695777,,37.3,3.78997e+19,42.3,3.36,1.87,0.0067,88.8
RF Sputtering,372.34779340367606,108.2039091383359,0.0,0.2480771768145558,,11.7,8.62094e+19,50.8,3.429,1.889,0.01288,88.9
RF Sputtering,161.067593711971,322.48077334293816,400.0,0.10320271639027344,,36.5,2.47542e+19,40.0,3.349,1.929,0.00427,94.7
RF Sputtering,402.4055386745094,111.13139643725732,500.0,0.05885865291961732,,37.9,4.37962e+19,41.5,3.37,1.871,0.0061,91.3
RF Sputtering,220.3148156069824,314.7016552818796,500.0,0.08895432100213896,,47.3,1.72864e+19,42.0,3.372,1.88,0.00363,91.5
RF Sputtering,263.9428665463669,363.5638122027825,400.0,0.13730314256492018,,46.4,1.62198e+19,44.8,3.377,1.917,0.00503,90.4
RF Sputtering,213.92550069860152,229.14519672945573,600.0,0.03855426358125491,,49.6,2.83923e+19,47.3,3.414,1.878,0.00554,94.2
RF Sputtering,318.68166094945184,78.70849786140789,0.0,0.19221729794605688,,17.2,2.99597e+19,56.4,3.377,1.905,0.00608,89.3
RF Sputtering,356.65078760189715,258.8112262964819,600.0,0.26997920795401636,,44.3,1.89014e+19,42.9,3.381,1.874,0.00361,93.7
RF Sputtering,321.73458724319846,167.31144564495077,500.0,0.10923736553679755,,41.8,3.05695e+19,42.3,3.342,1.859,0.00818,90.4
RF Sputtering,213.63862147456,365.6679785727022,400.0,0.2873498930744167,,40.2,2.05928e+19,40.0,3.379,1.904,0.00475,90.7
RF Sputtering,171.56141761361837,108.8644301694223,500.0,0.13169215106803722,,39.9,1.69364e+19,41.7,3.378,1.926,0.0065,96.9
RF Sputtering,434.8741829663138,112.8581919767215,700.0,0.16536570021786123,,51.0,1.32906e+19,40.0,3.372,1.901,0.00329,91.3
RF Sputtering,206.90916887079652,205.88541084338794,500.0,0.2932519563713829,,39.0,1.70327e+19,44.0,3.351,1.896,0.00517,93.9
RF Sputtering,264.0526817684844,210.08288588164825,500.0,0.2159097130674747,,40.8,1.0168e+19,41.7,3.375,1.925,0.00318,94.6
RF Sputtering,118.39412650877307,95.41214286953966,600.0,0.1565976898427164,,52.2,1.547e+18,40.0,3.34,1.941,0.00622,93.6
RF Sputtering,206.41125133319224,165.37583813869585,700.0,0.22882182482080446,,46.2,7.3228e+18,40.0,3.338,1.882,0.00249,94.8
RF Sputtering,115.99181852562243,275.5641333503921,600.0,0.1472591249947632,,46.6,5.393e+18,40.0,3.333,1.954,0.00222,95.1
RF Sputtering,224.3595889233278,201.4450184557009,300.0,0.219256454625562,,28.1,4.214e+19,50.1,3.383,1.916,0.00725,94.0
RF Sputtering,377.906427464003,47.394897898541956,0.0,0.07448123255251862,,7.8,3.90492e+19,62.7,3.372,1.903,0.00804,88.6
RF Sputtering,489.06666742140885,180.74031835481924,300.0,0.03229970933562259,,35.8,2.98811e+19,51.4,3.378,1.916,0.00623,90.8
RF Sputtering,342.59443282995454,180.92858345383164,400.0,0.18375559554949145,,33.6,3.01909e+19,46.6,3.352,1.928,0.00565,94.1
RF Sputtering,193.10748687498864,192.85179142313987,300.0,0.1618683714211959,,29.7,4.45217e+19,52.1,3.364,1.885,0.00775,89.9
RF Sputtering,355.81769859923816,33.93992650332208,400.0,0.14359897930109483,,27.9,1.17785e+19,52.0,3.344,1.895,0.00491,89.7
RF Sputtering,343.3390840603505,127.74714692790593,700.0,0.04406845442620404,,36.6,3.95919e+19,40.0,3.376,1.89,0.00511,93.3
RF Sputtering,426.7739362103451,381.4042245934356,300.0,0.28101774928676265,,41.8,3.82628e+19,42.9,3.405,1.906,0.00537,90.6
RF Sputtering,304.1514723964684,356.12753810904854,400.0,0.042404148540904386,,40.2,3.02249e+19,40.0,3.374,1.863,0.00817,93.0
RF Sputtering,462.67109921630527,377.76587213889485,600.0,0.2905648370473219,,52.0,6.8514e+18,40.0,3.315,1.919,0.00369,93.7
RF Sputtering,254.51154107443293,309.58378885852653,0.0,0.10225454113341292,,28.3,1.537296e+20,62.1,3.393,1.867,0.01996,87.0
RF Sputtering,200.13876118797967,187.74702347024382,400.0,0.09173068762516039,,35.9,2.99748e+19,41.8,3.372,1.903,0.00764,93.3
PLD,242.8124607610249,398.2025700477779,0.0,1.2033402520386702,,26.4,6.36406e+19,65.8,3.364,1.95,0.00957,88.9
PLD,319.2770350662691,502.27384421261667,400.0,32.41914266202346,,48.2,4.0636e+18,40.0,3.286,1.952,0.00165,96.8
PLD,351.64484717875285,334.9839367040586,500.0,21.017631281704762,,51.3,1.36967e+19,40.0,3.393,1.966,0.00586,94.0
PLD,139.5930411569526,440.43688622315585,400.0,28.71159758556134,,39.9,1.21898e+19,41.4,3.314,1.971,0.00625,92.8
PLD,383.3225871907335,295.2928548908656,0.0,43.57030774167046,,20.0,1.01885e+19,46.8,3.379,1.967,0.00488,94.0
PLD,202.19829330220435,377.26733201866506,300.0,15.044316510386848,,29.9,2.60231e+19,53.1,3.437,1.945,0.00547,92.3
PLD,95.8397390852806,555.6820562931754,500.0,12.985505638605066,,54.0,2.8502e+18,40.0,3.322,1.994,0.00251,95.9
PLD,105.64254099110511,494.7571819625984,500.0,41.2441559505477,,54.4,5.8994e+18,40.0,3.326,2.035,0.00285,93.2
PLD,203.07863405862446,345.15906721894777,500.0,2.216651654752459,,44.8,1.38101e+19,40.0,3.369,1.932,0.00555,91.6
PLD,334.1425600874889,311.29035928716485,700.0,46.372965407899535,,62.5,3.281e+18,40.0,3.3,1.972,0.00154,96.7
PLD,74.14449608904297,441.19731179878727,700.0,18.00309321587011,,62.9,2.0057e+18,40.0,3.319,2.027,0.00133,95.2
PLD,126.12686763344642,390.00651994768214,300.0,2.637688468257056,,47.1,1.08611e+19,40.0,3.366,1.993,0.00316,92.0
PLD,330.6087712002898,595.0182427844618,600.0,11.626586328670905,,60.5,7.5549e+18,40.0,3.313,1.987,0.00357,92.2
PLD,338.17785742591514,318.4323342703516,500.0,4.963323831292597,,53.0,1.32967e+19,40.0,3.385,1.961,0.00294,94.3
PLD,120.00881036568725,568.3225164900423,500.0,42.394213853040306,,52.4,3.3589e+18,40.0,3.323,2.002,0.0027,93.6
PLD,69.67983634342148,293.8135953050485,0.0,3.7213621012960014,,24.0,2.03596e+19,51.6,3.379,2.051,0.00585,90.2
PLD,278.9116329754564,520.5432431139722,400.0,3.618083532386379,,48.8,7.1831e+18,42.0,3.364,1.947,0.00259,89.1
PLD,327.8798137358487,546.1536508031029,700.0,31.13364577993221,,61.0,5.3738e+18,40.0,3.302,1.992,0.00277,92.6
PLD,67.41894094164674,275.56479506023436,700.0,11.288647329560678,,60.0,3.1902e+18,40.7,3.3,2.027,0.00186,95.9
PLD,232.91334027229965,377.53421130323954,400.0,17.393608921600432,,48.7,4.1866e+18,40.2,3.331,1.969,0.00458,92.0
PLD,99.63943096212151,484.3990515243514,300.0,39.52964778219549,,39.8,1.8015e+18,46.3,3.319,2.008,0.00275,92.4
PLD,260.30211279726586,364.80482695098203,700.0,21.84504370670659,,59.2,9.748e+17,40.0,3.296,1.974,0.00151,97.0
PLD,89.3545506241644,242.97528915308817,500.0,36.739646722342975,,43.6,1.8829e+18,40.6,3.311,2.008,0.00435,95.0
PLD,96.12470694756507,507.0205708199537,700.0,14.80958492433918,,62.1,9.432e+17,40.0,3.3,2.021,0.00519,93.9
PLD,239.1926135894101,394.65142015534843,0.0,7.423096055708503,,28.5,1.42908e+19,49.2,3.337,1.972,0.00452,91.7
PLD,381.44840384511144,273.798415412413,500.0,4.33334798447992,,42.3,6.1461e+18,40.0,3.306,1.934,0.00271,91.2
PLD,60.01189293579614,220.52270910711877,300.0,42.08272672523754,,34.2,2.9488e+18,48.2,3.31,2.04,0.00508,94.0
PLD,84.79012929562295,408.272351156141,0.0,6.982823953453616,,27.8,1.43345e+19,56.2,3.363,2.033,0.00372,94.1
PLD,120.68581252632046,316.92291325224664,400.0,4.848351590577083,,38.9,8.2656e+18,40.0,3.352,1.994,0.00334,93.4
PLD,335.1425745583826,525.317566473314,700.0,8.695792324354665,,60.1,1.3029e+18,40.0,3.278,1.954,0.00259,95.7
PLD,134.0999412974674,263.0175504771337,400.0,26.55473961390312,,43.0,7.3654e+18,43.7,3.375,2.008,0.00301,92.9
PLD,145.2077056422136,206.55583087783663,300.0,34.73020111472262,,33.1,1.1228e+18,42.5,3.351,2.007,0.00224,91.3
PLD,200.27878191911879,563.0693498645328,500.0,25.210695306379844,,64.0,1.18546e+19,40.0,3.355,1.925,0.00443,92.9
PLD,349.8826613504379,367.0900134203371,600.0,31.42040606355545,,60.7,1.2221e+18,40.0,3.286,1.943,0.00312,92.8
PLD,148.09377253663553,541.4639752002615,600.0,25.362761167407314,,55.3,3.2082e+18,40.0,3.316,1.937,0.0028,95.7
PLD,215.10207804529185,428.11787950617475,300.0,37.474082407956885,,42.0,4.3164e+18,42.2,3.341,1.956,0.0066,92.1
PLD,216.23781935344684,552.3558859927762,600.0,30.57321392994053,,50.4,3.7298e+18,40.0,3.32,1.97,0.00263,93.0
PLD,224.85535602161073,575.3370295251225,600.0,9.620204692003886,,56.6,2.8076e+18,40.0,3.354,1.938,0.00301,93.2
PLD,206.04991773512847,233.73595604090758,400.0,17.46311887632172,,34.7,7.8433e+18,40.0,3.334,1.933,0.00325,93.1
PLD,331.7817350059235,311.6177460796204,600.0,49.67131083821938,,46.9,1.023e+18,40.0,3.32,1.966,0.00136,94.3
PLD,119.9636167020058,273.26152511119824,0.0,22.98450766789003,,13.0,1.97798e+19,57.9,3.377,1.991,0.00624,89.3
PLD,226.53813558277452,582.6482373910994,300.0,34.1961084730453,,47.0,4.5839e+18,40.4,3.372,1.995,0.00173,91.9
PLD,95.8590155249097,477.8924092105634,400.0,9.449072252256897,,47.3,8.4775e+18,40.0,3.354,2.047,0.00314,93.6
PLD,354.9696953637026,570.2700275057983,700.0,34.114970800139176,,60.2,4.1377e+18,40.0,3.333,1.919,0.0041,91.8
PLD,198.73558653616317,594.1033038057801,500.0,35.20190418164502,,55.0,1.7281e+18,40.0,3.29,1.974,0.00139,95.6
PLD,399.31287174588005,516.7130714969477,500.0,8.84920734516334,,56.3,3.899e+18,40.0,3.317,1.971,0.00547,91.8
PLD,282.1479604042716,549.6638912527385,600.0,47.12702038453814,,64.7,1.596e+18,40.0,3.279,1.974,0.00286,91.8
PLD,121.4269250681266,576.3194249411192,600.0,20.320807831107928,,53.8,3.2179e+18,40.0,3.386,2.0,0.00375,93.0
PLD,373.69506964554165,443.74399488866857,0.0,17.96045379380751,,33.9,1.43391e+19,43.3,3.357,1.926,0.00376,91.9
PLD,152.75832299067966,527.8707736916235,600.0,34.21882553890729,,50.5,4.3878e+18,40.0,3.323,1.988,0.00209,93.7
PLD,273.44014709213576,589.7978022301545,600.0,46.09085715554133,,56.3,2.8977e+18,40.0,3.317,1.947,0.00144,92.4
PLD,317.8161643209401,388.5889919738006,300.0,42.07344459662004,,37.5,4.7134e+18,40.0,3.335,1.992,0.00226,93.2
PLD,86.15278197730706,286.69011846087557,500.0,28.53991365998045,,50.8,5.1686e+18,40.0,3.345,2.036,0.00548,95.3
PLD,114.44503576176945,466.1589852597378,400.0,3.6625190289526364,,48.7,1.67603e+19,40.0,3.328,2.033,0.00361,91.0
PLD,199.33752938186564,222.16892446109307,0.0,24.80753476591476,,22.1,2.11945e+19,64.5,3.381,1.933,0.00599,90.4
PLD,175.5008280890109,323.76493546863435,600.0,31.41779155559298,,56.6,9.8995e+18,40.0,3.348,1.97,0.0044,96.3
PLD,160.5593453803835,350.7005967924191,400.0,41.994238777693404,,43.2,2.8695e+18,40.0,3.316,1.976,0.00345,96.5
PLD,144.57167997747274,521.9614362912573,500.0,10.906147567156264,,50.9,5.984e+18,40.0,3.371,1.969,0.00477,95.0
PLD,176.19742442925667,209.5841796779532,600.0,23.819898601912875,,52.2,1.4855e+18,40.0,3.312,1.962,0.00245,95.2
PLD,393.551420991772,328.69226579466954,700.0,32.41532706516682,,54.1,1.5807e+18,40.0,3.29,1.928,0.00156,91.7
PLD,210.45819932085135,322.66477044744806,500.0,34.722158277409484,,40.6,5.2022e+18,42.5,3.313,1.959,0.00571,93.9
PLD,210.25617501501304,465.0198962364496,400.0,3.2711337697659872,,39.3,2.03659e+19,49.5,3.383,1.934,0.00392,91.8
PLD,137.67707176801372,550.1274943468468,0.0,43.91983700134984,,31.9,7.2446e+18,65.0,3.326,1.996,0.00517,90.2
PLD,116.38769957087976,392.18971212063275,0.0,6.5687215304531925,,33.3,2.40468e+19,46.6,3.377,2.01,0.00786,91.8
PLD,140.10249792467806,537.585192749326,600.0,42.851467586385574,,60.8,2.7192e+18,40.0,3.291,1.988,0.0024,93.3
PLD,359.97686599282997,368.8654161643145,300.0,43.3241715447543,,38.6,6.8903e+18,47.5,3.34,1.94,0.00252,91.0
PLD,360.1844937242395,400.959286798825,500.0,31.01960339513397,,53.4,4.1428e+18,40.0,3.31,1.973,0.0053,94.8
PLD,109.7618910757538,328.43901092308556,300.0,27.5119502020667,,30.9,4.6388e+18,40.0,3.313,2.026,0.00319,94.3
PLD,188.8170402041746,278.44974123286386,600.0,18.13077912733106,,50.5,9.719e+17,45.0,3.328,1.952,0.00149,91.7
PLD,253.15247740432446,556.2015188727066,300.0,20.04444450018468,,42.8,2.759e+18,48.5,3.322,1.976,0.00277,91.0
PLD,243.72098093855524,440.9430789096979,600.0,46.156595985871434,,60.0,3.1728e+18,40.0,3.313,1.904,0.00411,91.6
PLD,120.49501164642095,307.28860520880676,400.0,33.23134695814963,,37.3,4.3549e+18,49.7,3.348,2.005,0.00238,93.8
PLD,71.60521135279808,415.4915742813014,600.0,23.776800787969243,,56.8,1.08042e+19,40.0,3.393,2.038,0.00318,93.0
PLD,328.8215793582867,361.94008558036853,400.0,18.577996632578134,,43.5,5.6519e+18,41.5,3.301,1.956,0.00441,91.7
PLD,95.44137980856874,214.7377404611416,700.0,49.761206618165595,,51.1,3.5069e+18,40.0,3.343,1.984,0.00256,95.0
PLD,189.12709452966917,478.70288299220147,500.0,46.8531222046482,,54.0,1.5893e+18,40.0,3.312,1.963,0.00233,94.4
PLD,316.80097897812476,547.1663975935336,400.0,46.277957204138026,,48.6,1.7603e+18,40.0,3.306,1.976,0.00272,92.6
PLD,289.8555190423152,443.4938480253399,400.0,46.35693860054028,,51.3,4.4181e+18,44.2,3.354,1.96,0.00405,92.5
PLD,192.9219282052567,259.0801321840526,400.0,18.48082974397199,,38.2,1.478e+19,40.0,3.375,1.931,0.00551,92.5
